rainfall_72h_mm,rainfall_threshold_mm,soil_saturation_ratio,terrain_slope_degrees,drainage_capacity_mm_day,elevation_meters,river_distance_meters,past_recurrence_count,vulnerability_svi,flood_hazard_occurred
67.5,103.0,0.473,21.2,137.9,452.6,2530.0,2,30.7,0
114.9,89.6,0.751,1.4,141.0,1141.1,653.0,4,73.9,1
217.0,95.2,0.852,20.1,151.8,879.7,539.6,1,22.3,1
46.6,75.4,0.581,5.4,63.9,720.4,328.7,4,70.4,1
226.8,66.7,0.797,5.4,116.8,191.4,619.4,4,83.9,1
198.7,57.1,0.425,4.5,34.2,191.4,507.0,3,91.0,1
115.7,81.9,0.585,21.6,123.0,74.4,1407.3,2,19.4,0
32.3,86.6,0.705,2.8,101.0,1040.1,460.3,2,20.0,1
93.6,104.3,0.459,3.3,58.7,723.3,1083.0,2,89.4,0
32.2,103.5,0.706,1.3,113.4,851.1,131.8,3,78.2,1
162.8,78.4,0.526,13.9,43.2,29.6,304.8,2,76.9,1
269.3,78.3,0.351,16.6,70.1,1164.0,677.9,4,74.4,1
330.2,63.9,0.324,0.9,79.1,999.8,3366.6,5,72.4,1
100.3,69.2,0.823,6.0,129.9,258.7,618.3,2,64.1,1
70.8,105.9,0.22,5.9,66.7,222.3,1359.0,2,80.0,0
164.5,62.8,0.304,1.8,31.6,224.2,403.4,2,17.7,1
160.6,108.3,0.529,4.1,49.4,368.6,213.0,1,74.2,1
199.6,82.8,0.653,8.5,107.1,632.1,122.4,2,61.6,1
30.8,80.1,0.551,1.4,27.1,521.2,487.3,1,87.6,0
233.5,64.6,0.737,9.6,132.0,353.0,255.9,3,89.9,1
39.3,91.4,0.451,2.8,146.7,736.2,279.4,3,34.3,1
32.3,80.3,0.553,19.8,91.9,171.7,1766.3,1,78.2,0
38.9,75.4,0.694,0.8,120.5,354.1,69.2,3,91.6,0
143.8,69.5,0.59,0.9,87.5,442.8,1029.2,1,36.3,1
26.1,58.7,0.473,2.1,66.7,550.0,622.6,3,83.1,1
99.9,83.6,0.642,14.7,47.3,943.3,897.6,7,61.9,1
26.3,72.2,0.688,5.0,95.0,243.6,1042.9,0,46.6,0
31.5,93.9,0.762,24.7,150.5,619.5,501.1,5,80.9,0
22.3,94.8,0.445,22.5,145.1,712.9,469.7,3,84.6,1
16.4,73.3,0.302,3.5,149.1,60.5,1636.4,0,37.6,0
72.1,91.8,0.768,4.1,155.5,731.0,2510.1,1,78.6,0
157.6,69.2,0.405,10.7,47.3,208.8,306.7,1,19.0,1
228.5,95.0,0.353,0.7,44.8,82.7,173.3,1,48.4,1
84.5,55.9,0.358,4.1,82.7,1138.9,2786.9,3,20.6,1
265.8,63.3,0.718,22.5,118.1,1158.9,566.7,2,38.5,1
24.4,68.5,0.54,5.5,84.4,971.0,1011.7,0,91.0,0
292.5,97.5,0.442,8.4,145.5,369.0,584.7,3,73.8,1
282.1,58.7,0.217,21.8,121.8,121.7,211.3,3,75.4,1
17.9,65.3,0.911,3.4,110.6,822.7,1118.0,2,25.8,0
94.0,74.7,0.386,2.5,34.6,531.0,943.7,2,61.3,0
50.2,55.5,0.387,0.7,48.7,150.8,322.3,1,46.1,0
176.8,96.9,0.877,5.4,82.8,596.7,771.5,4,73.7,1
244.8,85.8,0.769,11.8,156.8,46.1,1963.1,3,27.6,1
78.5,104.5,0.951,4.6,70.1,1091.6,1121.2,1,37.6,0
37.8,56.7,0.449,1.9,110.0,314.2,172.3,2,86.9,1
315.0,69.9,0.91,1.9,158.5,796.7,1002.9,0,28.6,1
14.9,95.2,0.473,12.3,60.6,377.5,1505.8,1,65.6,0
